Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
C,Jeff Hartings\HartJe55,AFC,PIT,33,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
WR,Torry Holt\HoltTo00,NFC,STL,29,6,14,14,0,0,0,0,0,1,2,0,102,1331,9,1,0.0,0,
LCB,Ty Law\LawxTy00,AFC,NYJ,31,10,16,16,0,0,0,0,0,0,0,0,0,0,0,45,0.0,10,
FS,John Lynch\LyncJo00,AFC,DEN,34,12,16,16,0,0,0,0,0,0,0,0,0,0,0,45,4.0,2,
QB,Steve McNair\McNaSt00,AFC,TEN,32,10,14,14,292,476,3161,16,11,32,139,1,0,0,0,0,0.0,0,
LT,Jonathan Ogden\OgdeJo00,AFC,BAL,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
QB,Carson Palmer\PalmCa00,AFC,CIN,26,1,16,16,345,509,3836,32,12,34,41,1,0,0,0,0,0.0,0,
LDE,Julius Peppers\PeppJu99,NFC,CAR,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,38,10.5,0,
QB,Jake Plummer\PlumJa00,AFC,DEN,31,8,16,16,277,456,3366,18,7,46,151,2,0,0,0,0,0.0,0,
LDT,Shaun Rogers\RogeSh99,NFC,DET,26,4,14,14,0,0,0,0,0,0,0,0,0,0,0,30,5.5,0,
LT,Chris Samuels\SamuCh00,NFC,WAS,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
,Mike Schneck\SchnMi20,AFC,BUF,28,6,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,
TE,Jeremy Shockey\ShocJe00,NFC,NYG,25,3,15,15,0,0,0,0,0,0,0,0,65,891,7,0,0.0,0,
WR,Rod Smith\SmitRo01,AFC,DEN,35,10,16,16,0,1,0,0,0,1,7,0,85,1105,6,0,0.0,0,
MLB,Lofa Tatupu\TatuLo99,NFC,SEA,23,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,85,4.0,3,
RDE,Jason Taylor\TaylJa03,AFC,MIA,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,52,12.0,0,
C,Robbie Tobeck\TobeRo55,NFC,SEA,35,11,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,
MLB,Jeremiah Trotter\TrotJe00,NFC,PHI,28,7,15,15,0,0,0,0,0,0,0,0,0,0,0,102,1.0,1,
LDE,Kyle Vanden Bosch\VandKy99,AFC,TEN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,41,12.5,0,
QB,Michael Vick\VickMi00,NFC,ATL,25,4,15,15,214,387,2412,15,13,102,597,6,1,-14,0,0,0.0,0,
MLB,Jonathan Vilma\VilmJo99,AFC,NYJ,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,128,0.5,1,
SS,Roy Williams\WillRo03,NFC,DAL,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,72,2.5,3,
TE,Jason Witten\WittJa00,NFC,DAL,23,2,16,16,0,0,0,0,0,0,0,0,66,757,6,0,0.0,0,
