Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
WR,Randy Moss\MossRa00,NFC,MIN,22,1,16,16,1,1,27,1,0,4,43,0,80,1413,11,0,0.0,0,
WR,Muhsin Muhammad\MuhaMu00,NFC,CAR,26,3,15,15,0,0,0,0,0,0,0,0,96,1253,8,0,0.0,0,
FS,Lance Schulters\SchuLa00,NFC,SFO,24,1,13,13,0,0,0,0,0,0,0,0,0,0,0,55,0.0,6,
TE,David Sloan\SloaDa00,NFC,DET,27,4,16,15,0,0,0,0,0,0,0,0,47,591,4,0,0.0,0,
RB,Emmitt Smith\SmitEm00,NFC,DAL,30,9,15,15,0,0,0,0,0,329,1397,11,27,119,2,0,0.0,0,
LDE,Michael Strahan\StraMi02,NFC,NYG,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,43,5.5,1,
LCB,Troy Vincent\VincTr00,NFC,PHI,29,7,14,14,0,0,0,0,0,0,0,0,0,0,0,65,1.0,7,
LCB,Aeneas Williams\WillAe00,NFC,ARI,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,50,0.0,2,
RT,Erik Williams\WillEr01,NFC,DAL,31,8,14,14,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,
FS,Rod Woodson\WoodRo01,AFC,BAL,34,12,16,16,0,0,0,0,0,0,0,0,0,0,0,53,0.0,7,
TE,Frank Wycheck\WychFr00,AFC,TEN,28,6,16,16,1,1,61,1,0,0,0,0,69,641,2,0,0.0,0,
